,Support activities for mining,"Data processing, internet publishing, and other information services",Ambulatory health care services,Primary metals,Computer systems design and related services,Apparel and leather and allied products,Nonmetallic mineral products,Farms,"Federal Reserve banks, credit intermediation, and related activities",Nursing and residential care facilities,Pipeline transportation,"Performing arts, spectator sports, museums, and related activities",Food services and drinking places,"Forestry, fishing, and related activities",Plastics and rubber products,Motor vehicle and parts dealers,Water transportation,General merchandise stores,Textile mills and textile product mills,Food and beverage and tobacco products,Insurance carriers and related activities,Management of companies and enterprises,Fabricated metal products,Paper products,Motion picture and sound recording industries,"Securities, commodity contracts, and investments",Computer and electronic products,Petroleum and coal products,Air transportation,Truck transportation,Legal services,Construction,Other transportation and support activities,Administrative and support services,Hospitals,"Miscellaneous professional, scientific, and technical services","Motor vehicles, bodies and trailers, and parts",Transit and ground passenger transportation,"Electrical equipment, appliances, and components",Accommodation,Machinery,Furniture and related products,Wood products,Wholesale trade,Housing,"Other services, except government",Miscellaneous manufacturing,Utilities,Other retail,"Funds, trusts, and other financial vehicles","Amusements, gambling, and recreation industries",Oil and gas extraction,Printing and related support activities,"Publishing industries, except internet (includes software)",Rental and leasing services and lessors of intangible assets,Broadcasting and telecommunications,Chemical products,"Mining, except oil and gas",Other transportation equipment,Warehousing and storage,Other real estate,Food and beverage stores,Social assistance,Educational services,Waste management and remediation services,Rail transportation
Truck transportation,0.0050655073765223145,0.0027509730419431155,0.0016142704932923775,0.02751160049473716,0.0005811851875882521,0.014773902710297175,0.02897837603774856,0.021634156583455102,0.0004287864753283684,0.002607010049920627,0.0006584916098933712,0.0013758621248286425,0.0030128337511922763,0.011658749354953956,0.012865088922550446,0.007583861087375449,0.004560962317254802,0.004901606799736502,0.01717221363776994,0.03351102617961852,0.00011604688769067476,0.0007766409147916193,0.012160225354755356,0.01931281962919694,0.0020715096977077453,0.0004199318909734189,0.0028338434108583018,0.01291770220042186,0.004728823153047563,0.014439703836946703,0.0005014054823877438,0.014032684178819092,0.011883030424680951,0.0019803999703867908,0.00205487632357689,0.002109130104168984,0.012170399110161684,0.00196288901259188,0.011185000589256514,0.0025413353123533078,0.011278180546154749,0.01864548946080045,0.020049161183575387,0.002741165217806493,9.399687544013128e-05,0.002578130546032259,0.010660547139148834,0.0070325324763906745,0.004405749023372333,0.00016978427386074593,0.0066104489938621745,0.0034990338115013864,0.009399446369651726,0.001950741272208504,0.001089630916155004,0.0021295343878093087,0.009808444273828092,0.010083408629156194,0.006183541279263685,0.0020511209132367684,0.0012491842054050144,0.005363969598909978,0.0037753874728964367,0.001709696263496317,0.0057247392464988365,0.005688585448125815
Legal services,0.036900857803806704,0.006624028000226751,0.0055432627052455045,0.003532223210362512,0.008099008596032109,0.0025578049064867627,0.002962093904115905,0.0008282014441170769,0.005364309200447765,0.0053764437614255145,0.0023466391581251104,0.005774202294524761,0.00264855746956819,0.00144602521162502,0.004847500641922691,0.002460107115619337,0.002594551101434306,0.003433463206316186,0.003393625038380801,0.001051101582943538,0.016516657562527275,0.015140409635626541,0.008088483663424302,0.004549506563159689,0.004282613568514588,0.01287810535000158,0.0027070216765990303,0.0020227659506104347,0.0009592877203485713,0.0012389966559582196,0.006911092798511209,0.0031685436750445327,0.002876484623134184,0.008171186081766195,0.01745765916493314,0.014533838458402372,0.0010499588168155901,0.00204285407314371,0.0007247819133071822,0.0025691178162503122,0.00265331054093611,0.003989982899149982,0.006218540565853907,0.0066688604830754,0.0007078105397932571,0.004673619807861872,0.0062700191391147145,0.006568272928441532,0.003182488742504957,0.006755735315958803,0.02469443618031916,0.004124559698326514,0.004818138063383286,0.006026586404556253,0.0016225070867363848,0.005864592255540119,0.001885611798844616,0.005717350802309557,0.0011112163230868675,0.0017405729257578065,0.014015884644902865,0.0014541111791912444,0.003942778715533386,0.0013104117981439524,0.004195824568395871,0.0062085426356895896
Construction,0.009614210699591915,0.0003365046546125417,0.00016905125198177069,0.0019833078152993442,2.87267010516948e-05,0.0003990930919358233,0.002259119916358213,0.004570189678035976,0.002900528853048973,0.0006197757354112402,0.003751564909419113,0.0005297038548920496,0.0017758404030001247,0.0007455633349064103,0.0016832046993001436,0.0028665291248251693,0.0001357316492054699,0.0020967357658462013,0.0011724545038668329,0.0010624458878516943,0.00016531539354501534,0.0008323343159743402,0.0013694272018726925,0.0031543334892559245,0.00014722762557710934,0.0013767167632911849,0.00018482511402549085,0.014082808416624975,0.0006906693912480318,0.0005205442944224417,0.00016235224638638714,0.00011880429183741548,0.005888998788160352,0.0004145167607398108,0.0005133230467373823,0.00031443210409015155,0.0005840506455156287,0.0033097066381609953,0.0007205706856569644,0.004784975914391022,0.0008655801091811749,0.0008905553229721793,0.001137826160746733,0.0009818246581336264,0.03368930278337167,0.003676606709534197,0.000753893195598088,0.014669166162283625,0.0026271983825068325,0.0013099768196002542,0.001705932684759088,0.003430323208372216,0.0017663124739804663,0.00010687680318757816,0.0004493913280491152,0.0024866861257263556,0.0018272238834438391,0.015612223920246509,0.00033608941217453373,0.004037099154177987,0.057241164757149625,0.002199629985264628,0.0006390965999855085,0.0002868239870899056,0.00023901829560402216,0.02841781628708738
Other transportation and support activities,9.072099421440275e-05,0.00904289505385978,0.0017389428495676142,0.0007817463743348611,0.0009001966739112606,6.466215023099777e-05,0.007844302401619796,0.00011676989675571909,0.0007609193594684692,0.0016926422013355145,0.006849400787915026,0.003585118384979657,0.0004564548452159796,0.004303348869259847,0.0020561307825893594,0.008833560195586862,0.08132302564779569,0.0022804046567100325,0.001350242479967304,0.0008417527521868233,0.00020763452190510106,0.0007426801658773511,0.0003815695574615533,0.002633673729573271,0.005589083120966475,0.004379282300888021,1.3040911135938333e-05,0.002323497080490204,0.07148330319515774,0.11409124851691085,0.002521936640350763,7.275778895093839e-05,0.11502045708955246,0.0030344214766963484,0.002974784274103768,0.006373144395450257,6.607745431426824e-05,0.006573542628659128,8.569844628063048e-05,0.0005573820068461531,9.502495316803136e-05,0.0036877104549813506,0.007247648665977475,0.022059155048393862,1.281389702112301e-06,0.0024719771413786997,0.001150394089268135,0.013624054549433284,0.010547019277253105,2.558111192030218e-06,0.003963434256617011,0.00011210891614787049,0.003649303655006057,0.006068504242734323,0.004759948520056332,0.0004352917437834753,0.0002656660907051852,0.012938960780688308,2.8874822064603637e-05,0.007901121885123626,1.3790721328986423e-05,0.003659130010181244,0.004258259513464357,0.0013533492906216056,0.01250458991824496,0.022298645878242318
Administrative and support services,0.012296747445147969,0.07253505254988885,0.02527687693262301,0.012603970876661985,0.04693780350898168,0.02021052438162524,0.010879248448594735,0.0017080378941803755,0.02980338007308512,0.03689537971403755,0.014715938629200996,0.02692196677865835,0.017952512106537224,0.0013038547983925733,0.008905391558549072,0.026525045863898825,0.12227370102357885,0.017658887917078862,0.0072821645786152545,0.004700579914694192,0.006855592093865732,0.015259508947435102,0.020583961790236596,0.009670365847352707,0.016262453951224054,0.026258067976728448,0.002072994231689332,0.005180113300617648,0.029786625444470857,0.03995428777525359,0.027991452981922342,0.005645168149406374,0.033811879872688695,0.07399129140530103,0.0562963623168796,0.041307531182840085,0.0036396025088625845,0.05179193212099452,0.003728238257266985,0.026140901209442062,0.005602670507236914,0.0051083414943404355,0.006680875554809662,0.037308477051023504,0.002127945601505244,0.016843458796511876,0.007957857107386527,0.02634405371502437,0.029431540072863843,0.0017618997676560394,0.021303717707923973,0.0034922006854308475,0.032615232756384074,0.03145345685881033,0.03214225142691548,0.03074592465665405,0.005573765780100165,0.007740688519038367,0.011578073943775715,0.033986019633384365,0.09672453056352123,0.018680520372715517,0.016852833057168462,0.012617372347565518,0.033554533459542894,0.017990870956952343
Hospitals,8.054850894053637e-09,1.1669925580315115e-08,3.1265573066325045e-05,1.2460103563369945e-08,-5.183027481986212e-08,2.435840487720081e-08,1.8272320145061085e-08,2.5769992876263238e-09,1.844779955298142e-08,9.107759883390736e-07,-3.557496684411107e-08,1.6436101057756452e-06,2.103117597939089e-08,-5.379306488378517e-10,2.2048573532031247e-09,2.286270024347924e-08,-3.472287803137561e-08,3.623261185897497e-08,1.0170924247807648e-08,4.703177690123839e-10,-3.0024040448297565e-08,2.3809630065883335e-08,7.999336296978977e-09,8.50567571686549e-09,1.6455950595038332e-08,3.550795237166263e-08,-3.3901348998712387e-08,7.750584765980964e-09,-8.500437373311129e-09,-9.917897136792969e-09,-4.832091658272156e-08,2.9256725923395436e-08,-1.3779855616980764e-08,3.0084731599945144e-07,0.004139075711528385,1.2148219389255246e-07,-3.010275191360811e-08,2.982083430329628e-08,-2.92777872889798e-08,2.357084338397713e-08,-2.8391351930072486e-08,-8.743052012413277e-09,-1.6479336440664374e-08,1.688613953151536e-08,-1.3704507296052469e-08,3.519325803018856e-07,2.277840805000745e-09,4.012097608237834e-09,6.023022758822142e-09,-2.160002894678825e-08,3.522360384372008e-09,3.01508665205024e-08,8.50356452146471e-09,-5.0215390755534816e-08,3.577037435788004e-08,1.9779038021784172e-08,1.9231179566571265e-08,3.285243943927819e-08,2.0242034574618666e-08,2.2698447208667843e-08,-3.837396453083888e-08,1.0575408673999156e-08,4.0558712198703315e-08,-3.741633407843324e-08,-9.409306059326517e-09,1.638026237909515e-08
"Miscellaneous professional, scientific, and technical services",0.04968291869700756,0.07076979471280058,0.027825988540491512,0.01961770910941615,0.04116459545457584,0.018359587370469128,0.019873830154263868,0.0038602454764693882,0.06078815093541639,0.03194121201772846,0.02798442106855328,0.025412101127812826,0.03096804835996788,0.011208072749551738,0.02271397877737561,0.07904812427779716,0.020147753950881458,0.03303654384949558,0.02165492646357544,0.014163304172345771,0.02028050881741994,0.07744377713294524,0.02488758755186449,0.017027948597724395,0.054468768503508964,0.05831602098216944,0.005970586079812339,0.006844681289779622,0.0030870246540818107,0.015076310012910397,0.0233311683576333,0.02739308323463597,0.010950303312050576,0.0434815409176318,0.04275675595828567,0.08064286117735386,0.005245516429615928,0.014696180173959362,0.011021542154388431,0.03652816003710587,0.012583627791879654,0.02945595522728737,0.024079340283296072,0.04929601943656296,0.0003871546726053411,0.025773207899888174,0.026527457177283626,0.01823328469507192,0.0543966958798376,0.012867537958380386,0.03410242730552872,0.015681496887861208,0.02018993581796266,0.035009274597784155,0.01775204147052865,0.06294593745860465,0.013098850896854456,0.02546769744565137,0.007542422074708223,0.01153112568738097,0.07735989692909898,0.03293562003009129,0.02543876870961236,0.011460167877770431,0.02452546155410119,0.027423055203870454
"Motor vehicles, bodies and trailers, and parts",0.00353987406721889,0.0005044075907206797,0.000394140233060048,0.010684911723654005,8.386312506181414e-05,0.00027201956125400684,0.004704518595028378,0.0024432260612784625,7.767804477584369e-05,0.0005544808406505034,0.00023036149478927715,0.002850065194264741,0.00074777377669548,0.002218931145115072,0.0024990212255236338,0.008270510241232373,3.3240331764427364e-06,0.0008023621036301946,0.0016933740024310336,0.00283548239188475,2.8796724142105066e-06,0.0014255162894543675,0.003669848327733888,0.0073626100966139325,0.0006666883146493898,4.099915039002711e-05,0.0008378264465930678,0.0003601411487986669,-0.00012997673909885348,0.009662371096755822,1.396942449443144e-06,0.0016011109201634491,0.0033454744211608325,0.007368197418323412,0.0011696762699004704,0.0018027747611099876,0.3196582983062521,0.004567103744993742,0.0027574468353972897,0.0006529038232834988,0.037342881549796224,0.004765041345479215,0.006821301970722211,0.00335164664043645,1.1723948773163362e-06,0.02085630852503984,0.0039410562654114,0.0009070051275014842,0.004949712928151813,7.691643917171473e-07,0.0009588202447981618,0.0023639159431581786,0.0025291765673327448,0.0006920028486574483,0.0021256419400338877,0.0016802128055438876,0.001810161297404881,0.008864756145300782,0.014077037815866352,0.02413763042532564,7.234235500207723e-06,0.006275710572582277,0.007227648637886384,0.0018916649291541414,0.013642411217408662,0.000735007791266227
Transit and ground passenger transportation,0.0006744456696304599,0.0018247312524656144,0.0014738414834916966,0.00029930841230576,0.0015756667045863607,0.00016382495595091787,0.0005668541047965362,8.93983107218591e-08,0.0017684030369034191,0.0024223931441455016,1.3462750721941894e-05,0.008426777070726723,0.0004300151834900127,4.464996277989301e-05,0.00046154020297269093,0.0002442860708884658,8.500285770624752e-06,5.964971347682784e-05,0.00015677781099229462,0.0002212225111831005,0.0004758146728710051,0.00020241791637828173,0.00044571170700327374,0.000275345039390524,0.0005557969609227981,0.0018194097759041664,3.5077083771410825e-05,0.00011903543728228294,1.3127147585341695e-05,1.2149560588957175e-05,0.001758659492611585,0.00024337473425863307,0.00035956891143596934,0.0028090886625218017,0.0014582625228099296,0.002045028891431157,0.00010537443187022648,7.895426835657916e-07,9.596298573559432e-05,0.0004388406618481015,0.0003063599944997297,0.0005492784843368441,0.0004149473686750293,0.00031702060376220066,0.0001993963994644096,0.0004056616801041954,0.0005019341177027053,0.001035248287236692,8.489835726684805e-05,0.00047631054780494667,0.00042065841829861756,6.743770809864284e-06,0.0007452117826368903,0.0005515293375086406,0.0010577935385397918,0.001107026395674749,0.00014368519342981947,6.548780234028247e-05,0.00014898174722029003,4.158270715000923e-05,0.0018807693682613012,2.2272442666952654e-05,0.0005833161604466554,0.0010188694263592553,0.0013346628590726985,0.004112648793454471
"Electrical equipment, appliances, and components",0.004095857347594421,0.0014500155262554394,6.808455905124674e-05,0.01011151904974483,0.002377713236274797,0.0004083617443161142,0.001325819754871112,0.005926441337438114,0.00017568099449084205,0.004300410433180213,4.635834151771167e-05,0.0004107650690413781,0.0008275826085597689,0.0035344413619937064,0.006000355388617947,0.0010883644403480806,0.000608604375551721,0.0009308385917318141,0.0014790360751865028,0.0010458176710789876,3.173005811485223e-06,0.0002474514825522773,0.008396748799650241,0.0028123019003161672,2.529312059035469e-05,0.00013058643861071752,0.004842701897755981,0.00025953435228378603,3.0005464948421526e-06,0.00015595669185474662,1.2000896429651511e-05,0.024123578277551475,0.00013393659047425152,0.002435325195010643,0.0007488295109924296,0.0028108642968609,0.01129660742945475,0.0021502289694611304,0.06905472936297541,0.0023743518668238525,0.04012221227237391,0.0017410965914633687,0.014027679963916944,0.0002109060225134275,1.2876500330487253e-05,0.00366395098112274,0.008233753759949135,5.160978944282824e-05,0.0004581048431561243,1.1643967342126914e-05,0.0019227532874297848,0.0005941804798931952,0.0015499339294497408,4.3944189623133e-05,0.0006510031524452554,0.008596470416221691,0.001434635194031122,0.0008061744751054402,0.008220296456227806,0.0034602689205066816,0.0014050084310875146,0.00026810800686589433,0.001972566598644197,0.0017368206289505106,0.008683353573816792,0.002086063629428648
Accommodation,0.0019200611231430624,0.006271672532084687,0.0037155658303741775,0.0008185869414207268,0.005469117900224981,0.0004698744353622827,0.0015601680715413252,5.366357403130504e-06,0.005667493299302834,0.0016641512359852893,8.084086806918048e-05,0.0009059237625869039,0.0018098707753898653,-1.687599118869021e-08,0.001513717580832127,0.00012354587047368553,-4.5838676496667834e-08,0.0001799265992061913,0.0005380864879614318,0.0006195593950630915,0.0007788514642232113,0.001342981775274816,0.0012412527447879114,0.0007593754313292631,0.0020693970986270533,0.006129140490083885,0.00010053459906355364,0.00033051511854899124,8.280300568962399e-08,-3.0308274172977e-08,0.005398049761083663,0.000227902251531533,0.0032421466664148816,0.008292654784448898,0.00031090721462379445,0.003899133090122277,0.0002879138581233088,1.2046231819305583e-08,0.0003044834411432672,0.0012842482026763635,0.0008525099071926403,0.001510336116172454,0.0011440814710072776,0.0010823141038554542,0.0002597240145706494,0.0013192835179787026,0.001402109713903148,0.0015611732650249418,0.000259844893345761,0.001612265233753757,0.0011496927047946535,1.8667015051211473e-05,0.0029077196182059183,0.0018791864874442427,0.002844654758933224,0.0023560712821523947,0.00040154135373249067,0.0002000784065674653,0.00041891154625456643,0.0005753084960072683,0.006184079930526548,0.0003390161026114392,0.001998743310162799,0.0021876343951147247,0.005912175986852063,0.0002242351002176458
Machinery,0.05492092053142498,0.0019989555930532425,0.000720578313991241,0.0075912406713787,0.0022143633454533326,0.000904536470885949,0.0016570778950576568,0.008659886882190647,2.741754727057488e-05,0.0010199912234141102,0.0009719008627389555,0.00017355904889778022,0.0006889068969265447,0.00555024908026993,0.007135625535200883,0.0016787287044191695,0.0007385533478226758,0.0007575407216808644,0.0010190259379247151,0.004459079860976458,0.0006793116602414085,0.0009286172457918623,0.011767405140744444,0.0064415634065290205,0.0002926866338800234,9.020452743851454e-05,0.0010963749233412411,0.0003822762214877033,-1.6230287174092512e-05,0.0005038627728473738,0.00010928954390810076,0.02002455106023877,0.014192442527752713,0.0025852340065697322,0.0007827978354990147,0.0015996580001320494,0.03994598713438728,0.001967622117708459,0.014231041285175982,0.00031270529302354183,0.09423492232750774,0.001457056486291809,0.005716781383112246,0.0009611839798082777,1.5534813324345285e-05,0.008093655565689303,0.007720336677723274,0.002490100150519616,0.0009817970287297883,1.4412102722927744e-05,0.0008957353969678922,0.023137169828785102,0.0141399691008402,0.00034955638758286023,0.004622654101689867,0.0028982552274977452,0.008630010546021442,0.04328308508520664,0.0153031402665709,0.003388516313449145,0.00014317699828331104,0.0007406159275737037,0.0007312151155902438,0.004212891319922081,0.030179599575343007,0.0026466900049297096
Furniture and related products,3.539619492652981e-05,0.001149202677993871,0.00030302163175828197,4.699413568441924e-05,5.436029290274656e-06,0.0004001612576727122,0.00021538713572768936,1.560182128079794e-05,2.528691404864027e-06,5.181753132573603e-05,1.2214165338479068e-05,0.0009782955336192958,0.000374513618812566,1.3178854357942055e-05,0.0015755519025541095,0.001272672997364869,8.67827386150252e-05,4.78946176903622e-05,0.0005649011871463784,3.9718300777487946e-05,7.399186240233095e-07,1.5890925542461928e-05,0.0001010796423492618,0.0002286813450691021,7.493857977730057e-06,2.055158680044743e-06,0.0001503088987285389,6.10450595727263e-06,2.926777312676208e-07,5.099917520874617e-06,1.4257821316173349e-05,0.010474354789188544,6.485744991218413e-05,1.4831348399278974e-05,0.0001400868939190551,0.0001794437257834571,0.00021064638090057726,4.482335366417402e-06,0.00012956337278034475,5.8679592593490566e-05,0.0009392610339437314,0.05011963197060987,0.005910317579890243,0.00028593600449977364,0.001718767628636748,0.00028555700517959544,0.002360018017693748,1.680606841500943e-06,0.0014929628258525975,3.261347868718553e-07,0.0013681732220205119,2.225198994051582e-05,4.4553673466160354e-05,7.2743575261251555e-06,1.18877874368091e-05,0.0003771820668590357,3.595003066173155e-05,3.4686042091321286e-05,0.0007089757205378719,1.798503177345118e-05,5.464845775102486e-05,2.2096785859182182e-05,0.0004959148386487341,8.290194801654657e-06,3.7901291101355344e-05,0.00010496653218353929
Wood products,0.000975357550474132,0.004376646649269323,0.00023656263361952325,0.0019172345379417754,2.472981321308629e-05,0.00014529525221519552,0.003462424079903084,0.000852695581155258,0.00010829984157613239,2.8498838235285742e-05,6.165650878405276e-05,3.975836761167708e-05,0.0011908856116939928,0.000753980820414054,0.006458036338905945,0.0006625294922323798,2.5277084837726385e-05,0.00039895917457207793,0.0009561982173978508,0.0005546779270352118,6.2383673492077775e-06,9.432689752831047e-06,0.0008913237400781607,0.029940589956417414,0.0005132438443174467,9.835016582062248e-06,0.0009689701913017801,8.482333236069699e-06,-7.354893512605232e-06,0.0001962379647900309,2.6379110865873942e-05,0.02542953196127896,0.0003899839702158843,0.0008136267928437666,0.0004190844646810357,0.0003765486455681584,0.005194904558641415,1.4649025688302481e-05,0.002049604575612021,0.0021644192123190693,0.0025492941741631506,0.09267751645917358,0.1882086723818981,0.0016909014013537815,4.8387821712280124e-05,0.0007854919034800453,0.0076663173741615765,4.788398183493303e-05,0.0010256957379603574,1.3267219671616348e-07,0.001008273971914748,2.381543382356905e-05,0.0001481767714652857,0.00016888793852913483,0.0007826263817248201,0.0013728143154985658,0.000338349954312028,0.0010862867914379485,0.0009983067175349343,0.0014840727636568779,0.00547060296002694,0.002868823893979305,0.0052784914388412036,0.0001380865472058337,0.0001505550007766329,0.026594668457869643
Wholesale trade,0.029670484936104913,0.008897173576042491,0.021166649120305445,0.10396039426592814,0.004859524900334175,0.10751092920722707,0.04612933352469451,0.0959728858991141,0.0042350317413007155,0.01823387689647333,0.0030034489980986174,0.003521464500536929,0.022103748082352756,0.05003586313574004,0.06381436904759392,0.017347182368804368,0.023575376798815592,0.009947339790536164,0.06081149167388542,0.06855351994816784,0.00043436501610040896,0.007637277946209875,0.052401104664066,0.0711596956262717,0.0020949063860932625,0.003982139276370997,0.02242977791293379,0.027067853759186432,0.008591865583569391,0.022706734081204296,0.0022967380858494803,0.048222752687438884,0.02846226621122415,0.010252949269565595,0.02249579715330892,0.008751860626783625,0.09462872527463413,0.012144385362478263,0.07279997147324319,0.015086502518079015,0.08058977359714711,0.0755290352143094,0.08081619693686648,0.029398868993952162,0.0003052793516728768,0.016530864808597185,0.06354154912572524,0.013043148997290616,0.01918156029391037,0.00258949689759468,0.0206163389045743,0.020528989214031332,0.04167473674309327,0.0147309090960717,0.03405302730613037,0.01833367094578053,0.06886548629585437,0.0457391224427806,0.04182035367130287,0.016017702286386975,0.006143266675116657,0.008963262662990822,0.02032951459242632,0.011596167261059527,0.02350760907020915,0.03816670266197389
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Other services, except government",0.005316996315940984,0.007392203452432132,0.005114000658231428,0.00609743297443671,0.001463386573642975,0.001127944755785504,0.006762035343104524,0.0009222671366571447,0.008828329493387391,0.007435950326861219,0.0034365509811944924,0.005764068683822963,0.013482451234806105,0.007823341721329691,0.005354560094242275,0.010567944933265324,0.001393299845077887,0.008907633101704424,0.0036330910356596295,0.002933461115626704,0.006586352580254906,0.010873380313525235,0.005467725612728879,0.009207370780892584,0.0014778841035808345,0.005867202347983018,0.0010252604708596066,0.0022759740652837997,0.0008453228329394091,0.03060524463229058,0.00362654787607675,0.00454509896963144,0.010057820153401202,0.011447919946716872,0.017735002689441406,0.005675530039226407,0.0017416907702940642,0.0135728987635401,0.001805824478470516,0.008396984176484108,0.002732163303313199,0.0029137335477272533,0.004384561093849982,0.014534914252746913,2.8183480885835063e-05,0.011557588868057243,0.003099219831998596,0.0010187601397469688,0.009948386473271372,0.0035382503683699827,0.008747057357285355,0.0005765133733827737,0.005686445543889927,0.002095211215026676,0.019276203788753003,0.004443132407081856,0.004945157265549964,0.0014843176021807,0.0011836215628545335,0.008512658516500096,0.00765401845416682,0.015232300464476243,0.003920351192596485,0.0031764260798964753,0.022664183577964698,0.0018634243341607922
Miscellaneous manufacturing,0.00031809668181753984,0.0005653723509931602,0.01601725252322944,0.0004131050842201507,0.0001723453109760935,0.007951252003198128,0.0015614863894828428,0.0004824612022861705,0.0003624675557770131,0.00422672034162728,7.227527991307901e-05,0.00032419067286286837,0.0007219436552533513,0.0001230999498091665,0.0009452830355594416,0.0016178159170069492,0.00011853418330643606,0.00013239674800775362,0.0027879334506590425,0.00018443743037540816,5.343907950634801e-05,0.00021122832484875225,0.00041895319539430096,0.0003655620452277918,0.00014638562010887055,0.0001935831039218556,0.0001717586848326661,4.8930773322815554e-05,1.2381501299419114e-05,6.084561146244541e-05,0.0002372497453364909,0.0007734209630061836,0.0010153760766760252,0.0018018333200556843,0.018735633581273548,0.00138394309128041,0.003011299886158202,0.0003036563471981988,0.00543908809050974,0.00035625505931214415,0.005897107047998678,0.0008198633530053249,0.00043246758630143705,0.0006543444069309531,1.933185891934083e-05,0.0016132731848991473,0.040866300172704095,4.228604653571525e-05,0.0011252264640816995,2.93518996728376e-05,0.003655258808359954,0.00015138743718687089,0.0003739175072926192,0.00016048554174814318,0.0001973659451426991,0.00048345613702971483,0.0008941590982539092,0.00047717512883725937,0.0007221175216793995,0.002187028821199109,0.0006090587501055372,0.0006190056314582921,0.006823820016339503,0.0018226527798931894,0.0040880506205572325,0.00012687737217196814
Utilities,0.0008043713017941887,0.002727675673464488,0.0012381833988318086,0.017679118087572724,0.00024299382003104282,0.002122166255908264,0.015771109744684524,0.00885247256539003,0.002520095128911859,0.004841490262747247,0.004140620891664274,0.0024029655283677427,0.017206348944828014,0.0018014908510339386,0.01244583717347013,0.01365194011125678,0.0011412165552422097,0.016626141135099904,0.011739533021978086,0.006300544385968368,0.0002951240093422973,0.011114661026053187,0.007415715327609974,0.017873866970687238,0.001483004232012704,0.0009805102577645699,0.0011708826059981905,0.007372305744526434,9.281966932067856e-05,0.00280500727240996,0.0006495147150990151,0.0020805214347715296,0.0014648578645916474,0.0017303542024665215,0.005068742180468887,0.0012727886637997625,0.002678110771188821,0.0011729346666565774,0.003770567248879217,0.025260870606717733,0.0034353140690999715,0.004751165540742589,0.008028498652713559,0.006061228119178657,6.4487581373690125e-06,0.003107388076864414,0.0035190233740149046,0.03628781382924262,0.012396816001750143,0.006440163890218065,0.008379893943848386,0.010748709058527657,0.009269510600412631,0.0009317092739018,0.003397455532629641,0.002176083967489212,0.012424933177414822,0.021982622119107127,0.0017903339145398797,0.05462194627964332,0.057539466110302515,0.029030303387954287,0.0028548874208182405,0.013408834650150277,0.002769654919484585,0.000919197200647056
Other retail,9.572186269277265e-05,0.0006137020173816932,0.0002707866034281338,0.00011532566334430888,6.412491657636187e-05,8.154204215537794e-06,0.00021326583055855439,0.003979847896692912,0.00024354517071496646,0.00031180812418522683,6.111182678941084e-05,0.0009616607416855433,0.005322094192877521,3.191373833444567e-06,0.0005306554605784031,0.005339558174240351,0.00495811046652651,0.002033811819037808,0.00743132971775739,0.0009724234534132227,1.2360923499104774e-05,3.1107350012118687e-08,0.0004213850665847264,0.0009326126144804607,0.00016163529816663855,0.000370773899055427,7.509372082625484e-05,0.0003306004665356291,5.6287935093869e-06,0.02325841104632291,0.00015236588747602687,0.050957836592762366,0.00695131615172643,0.0013021333358621088,0.0001978722767896162,0.0003263683176042581,0.001309956686260267,0.00878468881247098,0.0007191800752208901,0.0037305997750702634,0.0014717202823930466,0.00686009660368646,0.0011690503516972762,0.000350944962971957,0.003105605428993736,0.005143769007036314,0.004292749394861426,0.0041054220981975535,0.0017034071954923347,-3.8117089545341816e-08,0.0012024388624713273,0.00019571425378495758,0.01629394378318756,0.00010454243962924512,0.0002092515786742748,5.2475662826653605e-05,0.0036292827078544007,0.0014727253961704222,0.00029447821672822725,0.00010041190936050409,0.0013212519027774269,0.0014239377610999091,0.0003561542553596107,0.0005961025188191074,0.00012517132545596124,0.002533149649986089
